TestCaseID,TestCaseDescription,EntityisMultibranch,LegalEntityNameHeading,RelevantRegulatoryJurisdictionHeading,CountryName1,CountryName2,CountryName3,CountryName4,CountryName5,Jurisdiction,EUEntityStatus,EUExempt,EUNonExempt,EuCrossBorderStatus,EUThirdCountryEntity,EU_DSF,EUBranchTransaction,EUAANAGroupInfo2,EUAANAGroupInformation,EU_AANAThreshold,EUAANAThresholdEstimate,Cleanup
SD_AANAModel_85410,To verify EUAANA modal is displayed when user selects separate reporting of AANA option.,Entity is Multibranch,Legal Entity Name*,Relevant Regulatory Jurisdiction,,EU,,,,,Entity Status;Exempt;Non-Exempt,Exempt;Article 1(4)(a) Entity;Article 1(4)(b) Entity;Article 1(4)(c) Entity;Article 1(5)(a) Entity;Article 1(5)(b) Entity;Article 1(5)(c) Entity;Non-Undertaking,Non-Exempt;FC;NFC+;NFC-,EU Cross Border Status,Is Principal a Third Country Entity;Yes;No,DSF Guarantees;Yes;No,EU Branch Transaction;Yes;No,EU AANA Group Information,Member of a EU AANA Group;Yes;No,EU 2016 EU AANA Threshold;Above €3 trillion EU AANA;Not Above €3 trillion EU AANA;EU AANA information will be separately reported by Principal's EU Ultimate Parent;EU AANA information will be separately reported by the following person…,EU AANA Threshold Estimate;2017 (€2.25 trillion EU AANA);2018 (€1.5 trillion EU AANA);2019 (€0.75 trillion EU AANA);2020 (€8 billion EU AANA);None of the above;Decline to answer,NO
SD_94_EU_86304,If NonExempt is checked then one of the options under has to be checked,,Legal Entity Name*,Relevant Regulatory Jurisdiction,,EU,,,,,Entity Status;Exempt;Non-Exempt,Exempt;Article 1(4)(a) Entity;Article 1(4)(b) Entity;Article 1(4)(c) Entity;Article 1(5)(a) Entity;Article 1(5)(b) Entity;Article 1(5)(c) Entity;Non-Undertaking,Non-Exempt;FC;NFC+;NFC-,EU Cross Border Status,Is Principal a Third Country Entity;Yes;No,DSF Guarantees;Yes;No,EU Branch Transaction;Yes;No,EU AANA Group Information,Member of a EU AANA Group;Yes;No,EU 2016 EU AANA Threshold;Above €3 trillion EU AANA;Not Above €3 trillion EU AANA;EU AANA information will be separately reported by Principal's EU Ultimate Parent;EU AANA information will be separately reported by the following person…,EU AANA Threshold Estimate;2017 (€2.25 trillion EU AANA);2018 (€1.5 trillion EU AANA);2019 (€0.75 trillion EU AANA);2020 (€8 billion EU AANA);None of the above;Decline to answer,NO
SD_94_EU_86308,If Third Country Entity is true, then DSF Guarantees must be completed,Legal Entity Name*,Relevant Regulatory Jurisdiction,,EU,,,,,Entity Status;Exempt;Non-Exempt,Exempt;Article 1(4)(a) Entity;Article 1(4)(b) Entity;Article 1(4)(c) Entity;Article 1(5)(a) Entity;Article 1(5)(b) Entity;Article 1(5)(c) Entity;Non-Undertaking,Non-Exempt;FC;NFC+;NFC-,EU Cross Border Status,Is Principal a Third Country Entity;Yes;No,DSF Guarantees;Yes;No,EU Branch Transaction;Yes;No,EU AANA Group Information,Member of a EU AANA Group;Yes;No,EU 2016 EU AANA Threshold;Above €3 trillion EU AANA;Not Above €3 trillion EU AANA;EU AANA information will be separately reported by Principal's EU Ultimate Parent;EU AANA information will be separately reported by the following person…,EU AANA Threshold Estimate;2017 (€2.25 trillion EU AANA);2018 (€1.5 trillion EU AANA);2019 (€0.75 trillion EU AANA);2020 (€8 billion EU AANA);None of the above;Decline to answer,NO
SD_94_EU_86306,If Non-Exempt options FC or NFC+ is checked then Cross-Border Status: Third Country Entity must be completed,,Legal Entity Name*,Relevant Regulatory Jurisdiction,,EU,,,,,Entity Status;Exempt;Non-Exempt,Exempt;Article 1(4)(a) Entity;Article 1(4)(b) Entity;Article 1(4)(c) Entity;Article 1(5)(a) Entity;Article 1(5)(b) Entity;Article 1(5)(c) Entity;Non-Undertaking,Non-Exempt;FC;NFC+;NFC-,EU Cross Border Status,Is Principal a Third Country Entity;Yes;No,DSF Guarantees;Yes;No,EU Branch Transaction;Yes;No,EU AANA Group Information,Member of a EU AANA Group;Yes;No,EU 2016 EU AANA Threshold;Above €3 trillion EU AANA;Not Above €3 trillion EU AANA;EU AANA information will be separately reported by Principal's EU Ultimate Parent;EU AANA information will be separately reported by the following person…,EU AANA Threshold Estimate;2017 (€2.25 trillion EU AANA);2018 (€1.5 trillion EU AANA);2019 (€0.75 trillion EU AANA);2020 (€8 billion EU AANA);None of the above;Decline to answer,NO
SD_94_EU_86312,If Non-Exempt options FC or NFC+ is checked then member of EU AANA Group must be completed,,Legal Entity Name*,Relevant Regulatory Jurisdiction,,EU,,,,,Entity Status;Exempt;Non-Exempt,Exempt;Article 1(4)(a) Entity;Article 1(4)(b) Entity;Article 1(4)(c) Entity;Article 1(5)(a) Entity;Article 1(5)(b) Entity;Article 1(5)(c) Entity;Non-Undertaking,Non-Exempt;FC;NFC+;NFC-,EU Cross Border Status,Is Principal a Third Country Entity;Yes;No,DSF Guarantees;Yes;No,EU Branch Transaction;Yes;No,EU AANA Group Information,Member of a EU AANA Group;Yes;No,EU 2016 EU AANA Threshold;Above €3 trillion EU AANA;Not Above €3 trillion EU AANA;EU AANA information will be separately reported by Principal's EU Ultimate Parent;EU AANA information will be separately reported by the following person…,EU AANA Threshold Estimate;2017 (€2.25 trillion EU AANA);2018 (€1.5 trillion EU AANA);2019 (€0.75 trillion EU AANA);2020 (€8 billion EU AANA);None of the above;Decline to answer,NO
SD_94_EU_86310,If Third Country Entity is true and Entity is Multibranch (under biographical information) is true, then EU Branch Transactions must be completed,Legal Entity Name*,Relevant Regulatory Jurisdiction,,EU,,,,,Entity Status;Exempt;Non-Exempt,Exempt;Article 1(4)(a) Entity;Article 1(4)(b) Entity;Article 1(4)(c) Entity;Article 1(5)(a) Entity;Article 1(5)(b) Entity;Article 1(5)(c) Entity;Non-Undertaking,Non-Exempt;FC;NFC+;NFC-,EU Cross Border Status,Is Principal a Third Country Entity;Yes;No,DSF Guarantees;Yes;No,EU Branch Transaction;Yes;No,EU AANA Group Information,Member of a EU AANA Group;Yes;No,EU 2016 EU AANA Threshold;Above €3 trillion EU AANA;Not Above €3 trillion EU AANA;EU AANA information will be separately reported by Principal's EU Ultimate Parent;EU AANA information will be separately reported by the following person…,EU AANA Threshold Estimate;2017 (€2.25 trillion EU AANA);2018 (€1.5 trillion EU AANA);2019 (€0.75 trillion EU AANA);2020 (€8 billion EU AANA);None of the above;Decline to answer,NO
SD_94_EU_86302,If Exempt is checked then one of the options under has to be checked,,Legal Entity Name*,Relevant Regulatory Jurisdiction,,EU,,,,,Entity Status;Exempt;Non-Exempt,Exempt;Article 1(4)(a) Entity;Article 1(4)(b) Entity;Article 1(4)(c) Entity;Article 1(5)(a) Entity;Article 1(5)(b) Entity;Article 1(5)(c) Entity;Non-Undertaking,Non-Exempt;FC;NFC+;NFC-,EU Cross Border Status,Is Principal a Third Country Entity;Yes;No,DSF Guarantees;Yes;No,EU Branch Transaction;Yes;No,EU AANA Group Information,Member of a EU AANA Group;Yes;No,EU 2016 EU AANA Threshold;Above €3 trillion EU AANA;Not Above €3 trillion EU AANA;EU AANA information will be separately reported by Principal's EU Ultimate Parent;EU AANA information will be separately reported by the following person…,EU AANA Threshold Estimate;2017 (€2.25 trillion EU AANA);2018 (€1.5 trillion EU AANA);2019 (€0.75 trillion EU AANA);2020 (€8 billion EU AANA);None of the above;Decline to answer,NO
SD_95_EU_86296,Under 2016 EU AANA Threshold if “Above €3 trillion EU AANA” is check then under EU AANA Threshold Estimate “None of the above” should be check,,Legal Entity Name*,Relevant Regulatory Jurisdiction,,EU,,,,,Entity Status;Exempt;Non-Exempt,Exempt;Article 1(4)(a) Entity;Article 1(4)(b) Entity;Article 1(4)(c) Entity;Article 1(5)(a) Entity;Article 1(5)(b) Entity;Article 1(5)(c) Entity;Non-Undertaking,Non-Exempt;FC;NFC+;NFC-,EU Cross Border Status,Is Principal a Third Country Entity;Yes;No,DSF Guarantees;Yes;No,EU Branch Transaction;Yes;No,EU AANA Group Information,Member of a EU AANA Group;Yes;No,2016 EU AANA Threshold,EU AANA Threshold Estimate;2017 (€2.25 trillion EU AANA);2018 (€1.5 trillion EU AANA);2019 (€0.75 trillion EU AANA);2020 (€8 billion EU AANA);None of the above;Decline to answer,NO
SD_95_EU_86300,If under 2016 EU AANA Threshold if either “EU AANA information will be separately reported by Principal’s EU Ultimate Parent” or “EU AANA information will be separately reported by the following person:” are check then under EU AANA Threshold Estimate “Decline to answer” should be checked,,Legal Entity Name*,Relevant Regulatory Jurisdiction,,EU,,,,,Entity Status;Exempt;Non-Exempt,Exempt;Article 1(4)(a) Entity;Article 1(4)(b) Entity;Article 1(4)(c) Entity;Article 1(5)(a) Entity;Article 1(5)(b) Entity;Article 1(5)(c) Entity;Non-Undertaking,Non-Exempt;FC;NFC+;NFC-,EU Cross Border Status,Is Principal a Third Country Entity;Yes;No,DSF Guarantees;Yes;No,EU Branch Transaction;Yes;No,EU AANA Group Information,Member of a EU AANA Group;Yes;No,2016 EU AANA Threshold;Above €3 trillion EU AANA;Not Above €3 trillion EU AANA;EU AANA information will be separately reported by Principal's EU Ultimate Parent;EU AANA information will be separately reported by the following person…,EU AANA Threshold Estimate;2017 (€2.25 trillion EU AANA);2018 (€1.5 trillion EU AANA);2019 (€0.75 trillion EU AANA);2020 (€8 billion EU AANA);None of the above;Decline to answer,NO
SD_95_EU_86298,Under 2016 EU AANA Threshold if “Not above €3 trillion EU AANA” is check then one option under EU AANA Threshold Estimate should be check,,Legal Entity Name*,Relevant Regulatory Jurisdiction,,EU,,,,,Entity Status;Exempt;Non-Exempt,Exempt;Article 1(4)(a) Entity;Article 1(4)(b) Entity;Article 1(4)(c) Entity;Article 1(5)(a) Entity;Article 1(5)(b) Entity;Article 1(5)(c) Entity;Non-Undertaking,Non-Exempt;FC;NFC+;NFC-,EU Cross Border Status,Is Principal a Third Country Entity;Yes;No,DSF Guarantees;Yes;No,EU Branch Transaction;Yes;No,EU AANA Group Information,Member of a EU AANA Group;Yes;No,2016 EU AANA Threshold;Above €3 trillion EU AANA;Not Above €3 trillion EU AANA;EU AANA information will be separately reported by Principal's EU Ultimate Parent;EU AANA information will be separately reported by the following person…,EU AANA Threshold Estimate;2017 (€2.25 trillion EU AANA);2018 (€1.5 trillion EU AANA);2019 (€0.75 trillion EU AANA);2020 (€8 billion EU AANA);None of the above;Decline to answer,NO
SD_EU_RegulatoryJurisdiction_86143,Confirm correct and complete display of relevant Regulatory jurisdiction information for EU on self disclosure screen,Entity is Multibranch,Legal Entity Name*,Relevant Regulatory Jurisdiction,,EU,,,,,Entity Status;Exempt;Non-Exempt,Exempt;Article 1(4)(a) Entity;Article 1(4)(b) Entity;Article 1(4)(c) Entity;Article 1(5)(a) Entity;Article 1(5)(b) Entity;Article 1(5)(c) Entity;Non-Undertaking,Non-Exempt;FC;NFC+;NFC-,EU Cross Border Status,Is Principal a Third Country Entity;Yes;No,DSF Guarantees;Yes;No,EU Branch Transaction;Yes;No,EU AANA Group Information,Member of a EU AANA Group;Yes;No,2016 EU AANA Threshold;Above €3 trillion EU AANA;Not Above €3 trillion EU AANA;EU AANA information will be separately reported by Principal's EU Ultimate Parent;EU AANA information will be separately reported by the following person...,EU AANA Threshold Estimate;2017 (€2.25 trillion EU AANA);2018 (€1.5 trillion EU AANA);2019 (€0.75 trillion EU AANA);2020 (€8 billion EU AANA);None of the above;Decline to answer,NO
END,,,,,,,,,,,,,,,,,,,,,,
